#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
18_Wheeler_DX;18 Wheeler: American Pro Trucker DX;NAOMI;;1999;Sega;Racing;2;Horizontal;Wheel;;;;;;;
18_Wheeler_STD;18 Wheeler: American Pro Trucker STD;NAOMI;;1999;Sega;Racing;2;Horizontal;Wheel;;;;;;;
AirlinePilots;Airline Pilots;NAOMI;;1999;Sega AM1;Simulation;1;Horizontal;HOTAS;;;;;;;
Akatsuki_Bk_Ausf_Achse;Akatsuki Blitzkampf Ausf.Achse;NAOMI;;2008;Sega;Fighting;2;Horizontal;2L12B;;;;;;;
AlienFront;Alien Front;NAOMI;;2001;Sega;Action;2;Horizontal;Wheel;;;;;;;
AzumangaDaiohPuzzleBobble_v3;Azumanga Daioh Puzzle Bobble;NAOMI;;2002;Taito;Puzzle;2;Horizontal;2L12B;;;;;;;
BorderDown_v3;Border Down;NAOMI;;2003;Sega;Shoot-'em-Up;2;Horizontal;2L12B;;;;;;;
BurningCasino_v3;Moeru Casinyo;NAOMI;;2002;Sega;Table;2;Horizontal;2L12B;;;;;;;
Capcom_Vs_SNK_2_Millionaire_Fighting_2001;Capcom vs. SNK 2: Millionaire Fighting 2001;NAOMI;;2001;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
SNKGD_SL;Capcom vs. SNK 2: Millionaire Fighting 2001 (Rev A);NAOMI;;2001;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
Capcom_vs_SNK_Millenium_Fight_2000;Capcom vs. SNK: Millenium Fight 2000;NAOMI;;2000;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
Capcom_vs_SNK_Millenium_Fight_2000_Pro;Capcom vs. SNK: Millenium Fight 2000 Pro;NAOMI;;2000;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
ChaosField_v3;Chaos Field;NAOMI;;2004;Sega;Shoot-'em-Up;1;Horizontal;2L12B;;;;;;;
CleopatraFortunePlus_v6;Cleopatra Fortune Plus;NAOMI;;2002;Taito;Puzzle;2;Horizontal;2L12B;;;;;;;
ConfidentialMission;Confidential Mission;NAOMI;;2000;Sega;Shooting;2;Horizontal;Gun;;;;;;;
CosmicSmash;Cosmic Smash;NAOMI;;2000;Sega;Sports;1;Horizontal;2L12B;;;;;;;
CrazyTaxi;Crazy Taxi;NAOMI;;1999;Sega;Racing;1;Horizontal;Wheel;;;;;;;
DeadOrAlive2;Dead or Alive 2;NAOMI;;1999;Sega;Fighting;4;Horizontal;2L12B;;;;;;;
DeadOrAlive2Millenium;Dead or Alive 2 Millenium;NAOMI;;2000;Sega;Fighting;2;Horizontal;2L12B;;;;;;;
DeathCrimsonOX;Death Crimson OX;NAOMI;;2000;Sega;Shooting;2;Horizontal;Gun;;;;;;;
